height1,weight1,reach1,ss1,ta1,stance1,age1,ssapm1,ssD1,tdD1,avg_sub1,height2,weight2,reach2,ss2,ta2,stance2,age2,sapm2,ssD2,tdD2,avg_sub2,outcome
66,145,66,0,100,0,39,4.18,100,100,1.5,71,145,72,0,0,1,31,4.91,100,0,5.3,0
73,205,74,50,0,1,30,4.26,45,100,0.0,74,205,75,55,0,1,34,2.75,50,100,0.0,0
75,155,75,30,0,1,28,4.36,49,40,0.4,67,155,72,51,60,0,30,3.53,70,100,0.0,0
67,135,67,39,27,1,38,5.03,62,75,0.4,68,135,72,38,25,1,30,3.36,61,73,0.6,0
69,170,74,37,60,2,39,1.31,74,100,0.8,72,170,76,26,0,1,38,2.44,63,40,0.8,0
70,145,70,53,0,1,37,5.61,62,77,1.2,71,145,71,38,23,2,37,3.46,47,100,1.6,1
67,125,67,44,66,0,34,2.89,69,100,0.3,67,125,70,31,0,0,29,3.2,56,34,2.2,1
74,145,78,56,80,1,33,4.0,64,100,0.5,69,145,70,36,0,2,28,4.93,44,20,0.3,1
67,125,73,22,0,0,33,4.41,35,60,0.3,64,125,65,65,40,1,31,0.49,78,100,3.7,0
69,155,72,51,0,0,36,4.3,38,100,1.2,71,155,70,62,0,1,37,7.5,49,100,0.0,0
76,205,79,76,0,1,38,3.65,36,63,0.4,74,205,78,64,37,1,42,2.91,24,100,0.3,1
70,155,71,63,0,1,39,3.74,57,100,0.3,71,155,76,43,0,1,41,4.41,37,100,0.9,1
73,170,75,36,0,0,38,1.7,44,100,1.0,75,170,81,56,0,1,33,3.22,64,100,0.5,0
72,170,74,20,0,1,33,2.22,73,0,0.3,73,170,72,27,100,1,28,5.25,80,100,3.8,0
67,125,70,45,0,0,29,6.05,40,100,0.0,66,125,68,60,0,1,34,5.01,55,100,0.2,0
72,185,75,76,0,0,34,4.1,46,100,0.0,73,185,77,54,0,1,33,3.34,24,100,0.0,1
71,170,73,59,0,1,31,2.56,44,67,0.6,69,155,71,56,33,1,31,5.16,41,100,0.0,1
73,170,71,53,100,0,32,3.18,57,100,0.0,73,170,75,43,0,2,33,4.21,47,0,0.4,1
67,125,65,47,0,1,37,7.03,30,67,0.0,63,125,65,70,33,0,28,2.6,53,100,0.4,0
77,256,78,72,0,1,32,2.77,74,100,1.7,75,249,78,26,0,1,40,3.35,28,100,0.1,1
64,115,62,37,0,1,35,4.94,69,0,0.6,67,125,66,31,100,1,32,4.54,63,100,1.7,0
71,145,74,38,0,1,35,4.11,44,50,0.3,66,145,69,56,50,1,32,4.22,62,100,0.5,0
73,185,78,60,100,0,35,1.99,52,0,1.2,75,185,76,48,100,1,38,2.86,40,0,1.6,0
73,155,75,53,20,1,28,2.01,64,100,0.0,73,155,77,36,0,1,37,3.15,47,80,0.0,1
70,145,73,38,0,1,31,3.29,46,40,0.4,69,145,73,54,60,1,34,2.4,62,100,0.9,0
68,135,69,32,0,1,40,3.82,66,0,0.2,67,135,69,34,100,1,32,4.0,68,100,0.0,0
73,170,74,33,0,0,38,3.73,50,100,0.2,69,170,69,50,0,1,34,4.89,67,100,0.0,0
75,155,77,56,0,1,32,3.37,57,34,1.3,70,155,73,43,66,1,32,2.64,44,100,0.0,1
75,205,77,26,0,1,30,4.17,40,100,0.0,76,265,79,60,0,1,30,4.01,74,100,0.5,0
72,185,72,34,0,0,36,4.74,45,19,0.3,74,185,75,55,81,1,35,2.57,66,100,0.2,0
68,135,68,45,100,1,34,3.92,57,100,0.6,67,135,66,43,0,1,34,3.75,55,0,0.1,1
70,155,71,41,50,1,32,3.74,65,100,0.0,69,155,68,35,0,1,30,5.35,59,50,0.0,1
66,115,65,62,66,1,32,3.92,63,100,0.0,65,115,65,37,0,2,32,3.73,38,34,0.0,1
67,125,68,38,25,1,32,2.31,40,100,2.0,66,125,66,60,0,1,37,5.32,62,75,1.6,1
70,155,69,66,0,1,23,3.83,58,100,0.8,68,155,71,42,0,2,35,4.96,34,100,0.0,1
71,185,75,40,50,1,36,3.01,48,100,0.6,70,185,73,52,0,1,34,3.3,60,50,1.1,0
68,135,68,36,33,0,35,3.06,39,0,0.0,67,135,67,61,100,1,35,1.99,64,67,0.0,0
70,155,73,42,40,2,31,2.51,47,100,1.0,70,155,69,53,0,0,31,5.72,58,60,0.3,0
68,145,72,33,33,1,31,3.25,41,100,0.2,69,145,70,59,0,0,33,3.06,67,67,0.0,0
